1,Name,Author,Translated By,Chapter Translated,,Nationality,Translation Status,Genre,Tags,Sypnosis,Rating,
11,I Shall Seal the Heavens, Er gen,wuxiaworld,427,http://www.wuxiaworld.com/issth-index/,Chinese,Ongoing,Action Adventure Comedy Fantasy Martial Arts Mature Romance Seinen Xianxia,Alchemy Cultivation Defiant Male Lead Demons Interspatial Storage Device Magical Creatures Maturing Male Lead Money Grubber Philosophical Elements Pill Based Cultivation Pill Refining Rogue Cultivator Scholar At Heart Scholar Protagonist Secret Identity Slow Romance Smart Male Lead Trickster Weak to Strong,I Shall Seal the Heavens is currently one of the most popular xianxia stories in China. It is about a failed young scholar named Meng Hao who gets forcibly recruited into a Sect of Immortal Cultivators. In the Cultivation world  the strong prey on the weak  and the law of the jungle prevails. Meng Hao must adapt to survive. And yet  he never forgets the Confucian and Daoist ideals that he grew up studying. This  coupled with his stubborn nature  set him on the path of a true hero. What does it mean to “Seal the Heavens?” This is a secret that you will have to uncover along with Meng Hao!,4.6,
12,Xian Ni, Er gen,wuxiaworld,207,https://fivestarspecialists.wordpress.com/xian-ni-index/,Chinese,Ongoing,Action Adventure Drama Fantasy Martial Arts Xianxia,Artifact Refining Body Refining Bullying Clans Cultivation Evil Male Lead Flying Hard-Working Protagonist Hiding True Ability Immortals Interspatial Storage Device Legendary Artifact Magical Space Ruthless Male Lead Swords Training Weak to Strong,Saints  the most formidable beings under the Heavens. Follow Wang Lin as he entered one of the elite sects  “Heng Yue Sect”  and work his way toward to become a Saint.,4.2,
13,Toaru Majutsu no Kinsho Mokuroku – Road to Endymion,KAMACHI Kazuma,Baka-Tsuki,5,https://www.baka-tsuki.org/project/index.php?title=Toaru_Majutsu_no_Index:Endymion_Chapter1,Korean,Ongoing,Action Comedy Fantasy Sci-fi Supernatural,N/A,Just before the completion of the Academy City space elevator “Endymion”  the main characters Kamijou Touma and Index encounter a level 0 girl named Arisa. The Magicians are after Arisa  and they attack Academy City. A female leader named Shattoaura leads a unit from Academy City against the attack. Kamijou and Index learn from Stiyl that Arisa is key to a brewing war between the sides of Magic and Science. When science and magic cross paths  the story begins with Endymion as its stage!,3,
14,ID – The Greatest Fusion Fantasy,KIM Daewoo,TheLazy9,3,https://9ethtranslations.wordpress.com/2015/07/11/id-the-greatest-fusion-fantasy-chapter-1-part-1/,Korean,Ongoing,Action Adventure Comedy Fantasy Martial Arts Romance Shounen,Alternate Universe Androgynous Male Lead Magic Item Mature Protagonist Monsters Parallel Dimension Parallel Universe Protagonist Strong from the Start,We find Chunwha in a world beyond his own. There he will struggle to find his own purpose among the many inhabitants of the new world including elves  dwarves  and even mages! As we watch him grow in strength and spirit.,4.6,
15,Ark The Legend,Yoo Seong,	Ark Machine Translations,Volume 12,http://arkmachinetranslations.com/space-3-for-the-benefit-of-muratio-star/,Korean,Ongoing,Action Adventure Comedy Drama Fantasy Martial Arts Sci-fi Seinen Slice of Life,Game Elements Subtle Romance Virtual Reality,A new game which the nation has dived into. From the bloody battlefields to the pyramids of ancient times  head into the colourful world of Galaxian. The glorious days of the legendary gamer Ark is over. From finding a job to saving the party from a humiliating death  nothing is easily solved……,4,
16,The Legendary Moonlight Sculptor,NAM Heesung,	Ark Machine Translations,Volume 30,http://arkmachinetranslations.com/legendary-moonlight-sculptor-table-of-contents/,Korean,Ongoing,Action Adventure Comedy Drama Fantasy Mystery Romance School Life Sci-fi,Adapted To Manhwa Blacksmith Cooking Cunning Male Lead Dragons Games Greedy Male Lead Grinding Hard-Working Protagonist Misunderstandings Money Grubber Necromancer Poor Male Lead Quests Quiet Female Lead Rich Lovers RPG Sculptors Seemingly Useless Power Slow Romance Smart Male Lead Strong Male Lead Vampires Virtual Reality Wars,The man forsaken by the world  the man a slave to money and the man known as the legendary God of War in the highly popular MMORPG Continent of Magic. With the coming of age  he decides to say goodbye  but the feeble attempt to earn a little something for his time and effort ripples into an effect none could ever have imagined. Through a series of coincidences  his legendary avatar is sold for 3.1 billion won  bringing great joy to him  only to plunge him into despair at losing almost all of it to vicious loan sharks. With revelation of money through gaming  he rises from the abyss with new found resolve and steps forward into the new age of games led by the first ever Virtual Reality MMORPG  Royal Road.This is the legend of Lee Hyun on his path to becoming Emperor with only his family loving heart  his boundless desire for money  his unexpected mind  his diligently forged body and the talent of hard work backing him,4.7,
17,King Shura,Lee Dae Sung,Ensj Translations,74,https://ensjtrans.wordpress.com/projects/king-shura/king-shura-table-of-contents/,Korean,Ongoing,Action Adventure Fantasy Martial Arts,Church Clans Guilds Magic Scholar At Heart Smart Male Lead Special Abilities Swords Weak to Strong,Cho Ryu Hyang was good at math from a young age. When he enrolled into the The Theoretical Maths and Martial Arts School  the teacher  Jo Gi Chun  recognized Cho Ryu Hyang’s talent immediately and took him in. One day  Cho Ry Hyang found a book in the library known as the “Moon Edge Flower Algorithm Magic”. Through the book  he met a legendary individual known as Zhuge Liang…,4.1,
18,Genjitsushugisha no Oukokukaizouki,Dozeumaru,larvyde,5,https://larvyde.wordpress.com/category/genjitsushugisha-no-oukokukaizouki/,Japenese,Ongoing,Adventure Fantasy,Cooking Kingdoms Management Transported to Another World,In a world where the Demon King had taken over a fifth of the land. Souma Kazuya (Soma) was summoned to that world as a hero  but the king took a liking to his rich country strong army proposal and somehow handed him the throne. Soma  who had the throne forced upon him  forewent adventure  and together with the talented companions he gathered  went about his nation-building with his realism.,4.9,
19,The Lazy King,Tsukikage,Yoraikun Translation,13,https://yoraikun.wordpress.com/2015/07/20/the-lazy-king-chapter-1/,Japenese,Ongoing,Action Comedy Fantasy Seinen,Alternating POV Demon Lord Lazy Protagonist Protagonist Strong from the Start Reincarnation Seven Deadly Sins Sleeping Strong Male Lead,My name is… Leigie of the Slaughterdolls. I forgot whatever name I had in Japan long ago.Once upon a time  on Earth’s Japan  I was a Salary Man who dedicated his hours to a company  and now  I’m just a poor  ordinary Demon Lord in service to some Great Demon King.,4.4,
20,Magi Craft Meister,Miyuki Ruria,Natsu TL,Volume4 c7,https://natsutl.wordpress.com/2015/03/04/magi-craft-meister-volume-0-chapter-1/,Japenese,Ongoing,Adventure Fantasy Sci-fi Shounen,Calm Protagonist Clever Protagonist Doll Maker Magic Magic Tools Protagonist Strong from the Start Science Succession Transported to Another World,There is only one Magi Craft Meister in the world. After the death of the last Meister over one thousand years ago  Jin Nidou was transported to another world in order to succeed her will.After obtaining the knowledge of the Magi Craft Meister  Jin attempts to use a warp gate but it malfunctions  transporting him to an unknown world. Along with that  an automata he recently restored also uses the warp gate in order to search for her “father”. Thus  the crafting journey of the new Magi Craft Meister begins!,4.7,
21,Invincible Saint ~Salaryman  the Path I Walk to Survive in This Other World,Brocolli Lion,Tseirp,Volume3 c27,http://tseirptranslations.blogspot.com/p/invincible-saintsalaryman-path-i-walk.html,Japenese,Ongoing,Adventure Comedy Fantasy Martial Arts Shounen,Age Progression Dungeons Game Elements Gods Guilds Hard-Working Protagonist Healer Magic Monsters Reincarnation Strong-Willed Male Lead Sword and Sorcery Training Transported to Another World Weak to Strong,Once upon a time  the Fate God from Earth and the Supreme God from another world called Galdarudia did a bet. The Fate God lost the bet and chose 10 common souls and handed them over to the Chief God of Galdarudia. And to the 10 common soul  the Chief God of Galdardia gave them a new ability. Among the ordinary soul exist one salaryman who resist the fate of death.,4.7,
22,Kumo Desu ga  Nani ka?,Baba Okina,Raising the Dead,235,,Japenese,Ongoing,Action Comedy Fantasy,Demon King Demons Dungeons Evolution Female Protagonist Food Game Elements God Heroes Mind Control Multiple Realms Personality Changes Reincarnated as a Monster Reincarnation Saving the World Seven Deadly Sins Silent Protagonist Skill Assimilation Spiders Split Personality Weak to Strong,The world where the Hero and the Demon King continue to oppose each other. The grand magic from the Hero and the Demon King cross over worlds and exploded in the classroom of a certain high school.The students who died in the explosion will be reincarnated in a different world. The protagonist  who has the lowest reputation in the class  was reincarnated into a spider. Nevertheless  she adapted quickly to the present condition with strong willpower.This is a story of she who has become a spider trying whatever she can to live.,4.7,
23,Love in the Time of Cholera , Gabriel Garcia Marquez,Edith Grossman (,N/A,http://www.amazon.com/gp/product/0307387143?ie=UTF8&tag=conversatio07-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0307387143,Spanish,Completed,Magical Realism Adult Love,N/A,In their youth  Florentino Ariza and Fermina Daza fall passionately in love. When Fermina eventually chooses to marry a wealthy  well-born doctor  Florentino is devastated  but he is a romantic. As he rises in his business career he whiles away the years in 622 affairs--yet he reserves his heart for Fermina. Her husband dies at last  and Florentino purposefully attends the funeral. Fifty years  nine months  and four days after he first declared his love for Fermina  he will do so again.,4.9,
